Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Fraud
17520,-5.268053221,9.067613427,-15.96072813,10.29660279,-4.708241091,-3.395374852,-11.161057,5.499962634,-5.667375546,-11.62719356,11.02705909,-16.38805417,0.363921487,-17.23020216,-0.437487559,-10.12239192,-13.63920899,-4.986457258,1.126784378,1.455878195,2.004109945,0.191058399,0.62292767,-1.209263557,-0.374798863,0.648798037,1.584697347,0.72005587,1,1
49490,1.172193206,0.303672734,0.193468159,1.065019721,-0.226551235,-0.869000809,0.267497106,-0.128741482,-0.336171984,0.198538018,1.417833412,0.705242227,-0.635296677,0.781806091,0.116185171,0.079991171,-0.507027402,0.185620914,-0.070329754,-0.14803427,0.03820344,0.062699181,-0.087294183,0.531856421,0.64990428,-0.388250326,-0.005869617,0.010050194,17.87,0
84565,-0.448134349,0.304089064,1.586149182,-1.774751721,-0.989646307,0.219339156,-1.465000244,-2.343226465,1.088057545,-2.051250129,0.566472057,0.72868001,-1.734377469,0.670625125,0.213833704,0.355864172,-0.564078722,0.92233723,0.061261396,0.446877171,-1.302741542,0.297854002,-0.283698478,-0.032659359,1.447444458,-0.670874975,0.051334223,0.163836916,1,0
93707,1.908341891,-1.418172635,-0.54149276,-0.600126154,-1.235479311,-0.346718543,-1.149989454,-0.075177016,1.607257343,0.370776365,-0.098243121,-3.858065707,0.565440133,1.257700348,0.058955181,1.474024777,0.755277468,-0.42724,0.069506493,0.156734361,0.305731091,0.760536117,0.072044455,0.676812336,-0.299441905,-0.147872229,-0.051074367,-0.023275917,150.4,0
144659,2.220275941,-1.635357629,0.083633959,-1.421233942,-2.028676568,-0.400103616,-1.774037648,-0.02086631,-0.584132217,1.462096211,-1.198747214,-0.586305774,0.871909454,-0.98567737,0.059983174,-0.07320912,0.258641654,0.287560299,-0.281721419,-0.383611369,-0.14493948,0.140737833,0.317895628,-0.13302054,-0.523929262,-0.240369417,0.066349224,-0.028720165,24.9,0
6758,-1.011657676,1.121053685,2.447240288,1.969500013,-0.794135547,0.573955248,-0.339600287,0.67890529,1.539858952,-1.076285482,0.257944064,-1.108449855,2.207147699,0.808773649,-2.257490696,-1.75103423,2.20826749,-1.027536564,0.881372714,0.041369258,-0.431203097,-0.507910167,0.053884799,0.568020256,-0.08900316,-0.44256631,0.298684947,0.115574593,15.89,0
81948,-0.50205069,-1.412967339,1.042272451,-3.477557541,1.0885986,3.747146652,-1.248483295,0.878839313,-1.771712757,0.935820789,-0.515419371,-1.445740435,0.553053835,-0.976157841,0.705297043,0.596163322,-0.653322289,1.252828374,-0.846123503,0.112453487,0.134977253,0.554601285,0.005898042,0.982138445,-0.116720303,-0.232908736,-0.030436191,-0.080165136,85.91,0
164161,-1.931569797,2.36594943,-2.591134799,-0.848845176,-0.054588692,-0.235362679,-0.578956645,1.844349617,-0.287774879,-0.633609351,-0.405607419,0.738027575,-0.027830168,0.250501604,-0.933344137,1.255353972,0.442656752,0.731774687,0.302845623,-0.028113474,-0.283191343,-1.041386354,0.202208302,-0.422342226,-0.09249958,0.17637517,0.050214948,-0.032914572,17.99,0
76839,1.453307418,-1.130814515,-1.12526972,-3.262376391,0.969955885,3.023037136,-1.319862532,0.776232573,0.303793545,-0.190930735,-0.126935814,0.142516069,0.420803359,0.119646973,1.988350436,-1.466714483,-0.511500921,2.004781216,0.135018482,-0.328838165,-0.257980559,-0.293971305,-0.080022008,1.028219969,0.58218373,0.102537966,0.048568948,0.018820529,15.13,0
67194,1.169202451,0.105888874,0.94220955,1.13900149,-0.794349837,-0.633237774,-0.297718233,-0.016835692,0.430376263,-0.033894912,-0.475918917,-0.055334393,-0.434207312,0.22577903,1.357442282,0.519683634,-0.581873988,0.119186859,-0.495726502,-0.131294449,-0.055845516,-0.204442784,0.052373564,0.351116331,0.295773942,-0.511887973,0.042656147,0.03865531,19.99,0
50074,-1.407463176,1.1627742,1.476300916,-0.426860692,-0.022218248,-0.944068213,0.373733317,0.432535865,-0.97567202,-0.998620597,1.418698826,0.709183786,-0.187131649,0.108008497,-0.197040227,0.889605937,-0.220152094,0.283710097,-0.479325621,-0.167533051,-0.105202322,-0.691107143,-0.14284503,0.481828411,0.165382262,-0.032529935,-0.271952345,-0.010393122,5.34,0
42258,1.160041852,0.174852174,0.596485729,0.500699285,-0.312851572,-0.308779555,-0.097474544,0.052794575,-0.270306202,0.051366965,1.929320252,1.34378768,0.425514325,0.42658615,0.540896116,0.135490854,-0.335526061,-0.593218538,-0.266376583,-0.104499718,-0.161819008,-0.459445682,0.175769882,0.225767302,0.09576825,0.093342199,-0.014485086,0.008037062,1.79,0
128471,0.909123839,1.337657824,-4.484727667,3.245357645,-0.417808776,-0.762118684,-2.506348775,0.694163949,-0.467555884,-4.565260095,3.612645346,-3.171936612,-0.400045819,-8.569454155,-1.614831207,-2.388207562,-2.577464434,0.092678671,0.098242013,0.445573384,0.586829163,0.594077545,-0.252120311,0.325438828,0.562765676,-0.256278185,0.652673807,0.319879228,67.9,1
169862,2.067767991,0.099653561,-1.883768034,0.186833141,0.71329051,-0.278386007,0.07342192,-0.060050413,0.262729239,-0.209192311,0.702740494,0.692459874,0.096780077,-0.683514887,-0.463438074,0.652604531,0.044616313,0.341729844,0.525155715,-0.128666054,-0.344894286,-0.918413484,0.267725438,-0.002536254,-0.222139355,0.184231362,-0.066793138,-0.045611161,0.99,0
76641,-0.157632211,-0.173148958,2.289119576,-0.285430749,-1.208962367,0.490668009,-0.819183369,0.325566925,-0.961558634,0.596354366,0.623275592,-0.523331069,-0.436246435,-0.488286217,0.034447958,0.598638632,0.76738942,-0.226984257,2.906235579,0.364587983,0.251729331,0.779473936,-0.155790671,0.039612855,-0.342127576,0.019770532,0.179624768,0.123774436,22.9,0
14332,1.071950378,0.340678199,1.784067691,2.846395932,-0.751537865,0.403027674,-0.734920373,0.205807412,1.092726225,0.28608755,1.907718268,-1.48096835,1.751198595,1.190669743,-1.777972176,0.718800549,0.130063793,0.477206996,-0.834333876,-0.190846789,-0.169632092,-0.113604112,0.067642964,0.468668566,0.223541407,-0.112355485,0.014014595,0.021503883,0,0
55311,-6.15960693,1.468712923,-6.850888147,5.174706273,-2.986703924,-1.795054146,-6.545071526,2.621236138,-3.605870126,-8.122161075,6.029032563,-9.225855308,-1.546758631,-10.30933419,0.308062394,-7.787326221,-12.822177,-4.367677133,2.643984221,-0.289829586,1.061314182,0.125737469,0.589592332,-0.568730605,0.582824721,-0.042582645,0.951130233,0.158996024,0.83,1
172397,-0.024276619,0.790709897,0.379359141,-0.262421546,0.530981222,-1.05933813,0.958129348,-0.335121364,-0.294131804,-0.388835208,-0.737589498,0.5529864,0.901988544,-0.017843313,-0.210531443,-0.332813954,-0.274945218,-0.78811739,0.446719208,-0.079676532,-0.179690738,-0.428981686,0.131657782,0.070826363,-0.600738363,0.181837201,-0.09127552,0.063919787,0.89,0
168194,-0.088268869,-0.740325503,0.543847063,-2.861500943,0.001150191,0.047402426,-0.481612438,0.145551204,-2.134719335,0.981415528,-0.268268815,-1.126962915,-0.436295138,-0.206310463,-1.158166264,-0.145575699,-0.066340856,0.875852867,0.258321297,-0.31612937,-0.074683726,0.070726898,-0.07326682,0.04497363,-0.474191042,-0.283442616,0.163841834,0.171482606,8.95,0
34841,1.227055824,0.244093277,-0.185242206,0.747430811,0.388687546,0.045383305,0.181376646,-0.063374767,-0.313474416,0.150059972,0.390263526,0.891467119,0.869130233,0.374059438,0.225327008,0.55375345,-1.142183902,0.637790362,0.343765311,0.012158519,0.029030104,0.071061957,-0.291188467,-0.816156375,0.827318844,-0.278530425,0.007808596,0.004955814,33.8,0
158696,2.077906107,0.162936423,-1.768739674,0.368984817,0.549385767,-0.695902772,0.184218124,-0.21415059,0.466451866,-0.393676569,-0.623062112,0.243198336,0.335897854,-0.897711646,0.237629183,0.294450606,0.45571446,-0.372961416,0.041584838,-0.141020431,-0.366751965,-0.931278114,0.323122834,0.326138557,-0.242790711,0.186197182,-0.058133394,-0.03215263,1.79,0
166182,2.152961427,-0.29222869,-1.551109025,-0.731661257,0.008706589,-1.1522732,0.115131512,-0.319165186,0.948340661,-0.193748979,-1.269752673,-0.135716119,-0.512881061,0.47396255,0.702702193,0.084013245,-0.476902405,-0.564255791,0.720170655,-0.209809813,-0.342715079,-0.918030651,0.282791181,-0.650552094,-0.326113138,0.583832362,-0.107618536,-0.075046517,4,0
72824,-1.111495232,-0.257575207,2.250209635,1.152670903,0.432904474,1.254126028,-0.58416279,-0.609681605,1.014602463,0.334532824,0.826374844,0.1968869,-1.885993498,-0.472025637,-0.578141396,-1.243007101,0.570459827,-0.159056766,0.407187527,-0.510613592,0.86291279,0.927825035,-0.343058086,-0.25626823,-0.600742166,-0.180331288,0.026762226,-0.358335321,45.03,1
29921,1.359330704,-0.357802792,0.080858286,-0.650869695,-0.747489681,-1.276240006,-0.049835945,-0.378191485,-1.180001326,0.596707351,-0.025618281,-0.153077464,0.794370311,-0.061068605,0.444437825,0.906484262,0.328695191,-1.993001761,0.780072278,0.18201667,-0.174123915,-0.691550073,0.089146279,0.386907489,0.356438705,-0.536308943,-0.018877393,0.022213859,49,0
17220,1.189784357,0.942289402,0.082334145,3.024049706,0.412406009,-0.214414558,0.053557839,-0.110353351,0.883797757,-0.554223901,0.154921009,-2.776756575,1.641206626,-0.456076957,-1.240414392,0.857322736,1.707024466,0.526349196,-0.86510461,-0.143434645,-0.502635558,-1.047397528,-0.056752024,-0.340688405,0.541235201,-0.098300287,-0.00304112,0.04981902,3.79,1
60453,-2.960186122,1.826779244,0.238836257,2.351866924,0.99033177,0.453353559,1.721108418,-2.242424054,1.420364918,5.029705523,-0.646328927,-0.344909296,1.19578413,-1.956859956,0.524201939,-0.948178515,-0.720979215,-0.405050599,1.207898215,0.610341065,0.058335037,0.219356132,-0.063286792,-0.410713123,-0.19741249,0.043291853,-0.678263117,-0.460109919,60.67,0
41457,-1.697422577,-0.003861376,1.412981358,1.573168403,-0.01166257,0.866678802,-0.441798253,1.080701581,-0.196153814,-1.129964995,1.002871513,0.016163005,-1.996876618,-0.5217603,-0.044656124,-0.709640222,1.903854666,0.402469435,0.585679025,0.24831755,0.207812447,0.287412052,-0.052564795,-0.400664553,0.280917685,-0.055521987,0.01095435,-0.083007124,105.68,0
82133,-0.654094635,0.887927347,2.128721055,0.049790148,0.10666356,-0.648538553,0.656272466,-0.237849769,0.037785416,-0.173099869,-0.294386531,0.492616774,1.100816108,-0.55087429,0.621583053,0.508949077,-1.029887061,-0.054297144,-1.05632246,0.091278882,-0.069995701,0.050283722,-0.170776216,0.382046854,0.059748129,-0.679905756,0.025392428,-0.131865559,12.49,0
49019,1.320721008,-0.453119277,0.419752022,-0.495866813,-1.074345442,-0.984800325,-0.382071326,-0.183651739,-0.969384487,0.654117331,0.188035845,0.064976686,0.137328539,0.222997494,1.063012209,-1.776923845,0.459972102,0.25408974,-1.318552226,-0.525568106,-0.323815382,-0.418775674,0.138919958,0.635087001,0.129090001,1.037294783,-0.049048959,0.006877933,10,0
130414,0.080096059,0.785701711,-0.577714257,-0.718822236,1.046766702,-0.280447956,0.726316028,0.183197549,-0.025887934,-0.624867021,0.444714637,-0.430163361,-1.714722424,-0.496221804,-0.677589585,0.654883868,0.137623782,0.520484004,0.13559351,-0.049655529,-0.320537975,-0.907357514,0.087237138,0.069823157,-0.47107264,0.127814985,0.206594728,0.067581185,8.99,0
75170,1.105194312,-0.269673829,0.795476071,1.195765282,-0.516086496,0.663652195,-0.695228967,0.326904063,0.975594565,-0.100140569,-1.476120423,-0.594938964,-1.157392494,0.000979493,1.051520213,0.305554081,-0.366839335,0.203013959,-0.531327877,-0.147587647,0.104162032,0.358710835,-0.180881978,-0.786308013,0.483469317,-0.160019728,0.06676993,0.027854632,45,0
37811,-0.830888774,1.378372306,0.407243524,1.1045726,-0.582169732,-0.086212715,0.126830302,0.582176585,-0.822165112,0.110944589,0.681613406,0.464901481,-0.194854433,0.857362461,0.577968996,0.188468072,-0.273615796,0.880609134,0.974479076,-0.222627922,0.231335857,0.571403742,-0.063900629,0.012988077,-0.074336431,-0.254382797,-0.568171449,-0.3653317,57.22,0
62910,0.225356353,-2.444937563,-0.720932933,-0.283694398,-1.054020362,0.089674514,0.294546663,-0.119954777,-1.010637578,0.444438723,1.077764783,-0.002056026,-0.316281561,0.213811255,-0.541105779,0.619407966,0.56894516,-1.343219755,0.684115009,1.209732085,0.560244095,0.314612627,-0.701621413,-0.223859152,0.5009643,-0.09438099,-0.11074503,0.088711224,599.1,0
138193,1.823226859,-0.484648041,0.021465939,1.225924585,-0.722095694,0.271904052,-0.866185278,0.285541418,1.067883517,0.316182012,0.315560575,0.514898179,-0.737698936,0.140007029,0.108769968,0.843138942,-1.033338714,0.88527272,-0.334166543,-0.20876651,0.101843936,0.308639685,0.208168551,-0.46168399,-0.384144957,-0.750075524,0.064463448,-0.02907993,45,0
137472,-0.012224397,0.766233822,0.336644915,-0.683177318,0.401914334,-0.781417761,0.849446639,-0.003677868,-0.21511958,-0.231006627,0.790021268,0.538096868,-0.725699081,0.44535619,-0.993234184,0.049400793,-0.536078137,-0.292389756,0.106503693,-0.079659406,-0.205347721,-0.471461908,0.079255903,-0.00614921,-0.567549205,0.122882958,0.242907214,0.086096697,1.99,0
137680,-1.100233606,1.038061917,-0.530811334,-0.702759366,1.031615357,0.201345743,0.304473586,0.731403721,0.311365737,-1.482602008,-0.025323567,0.627827566,0.214616796,-1.372594347,0.247979621,-0.826710315,1.992256347,-1.338116645,-1.278425937,-0.032594968,-0.169126999,-0.123327586,0.044108589,-1.149448928,0.149481018,0.042370208,0.285867801,0.037935468,10,0
147634,0.209270917,0.710242612,-0.197848819,-0.528733165,0.835272866,-0.78323405,1.091358864,-0.316603655,0.408803408,-0.022136802,-1.286272761,-1.212764145,-1.850032456,0.566398394,0.744172182,-0.37709905,-0.537973055,0.43753773,0.11132428,-0.029674844,0.284670557,1.135500689,-0.123871315,0.650212578,-0.844269235,-0.271233412,0.328599894,0.101402928,4.49,0
82352,-0.671360477,1.188834805,1.590973739,-0.423977908,0.170517688,-1.268817045,0.957213235,-0.233411394,-0.572715959,-0.908137197,0.091023982,0.478904957,0.817431427,-0.603537788,0.240869553,0.535157848,-0.245934581,-0.428449936,-1.005087058,-0.096024843,-0.138022543,-0.502940221,-0.014151052,0.679251358,-0.337638607,-0.145268012,-0.072723992,0.14457004,0.89,0
121569,0.01008703,1.078004386,-2.61608258,-1.196625966,2.469492653,4.226236099,-2.35356555,-4.359155776,-0.551668403,-1.876955359,0.082516905,0.526361875,-0.850694714,0.218807318,0.132826778,0.674419399,0.593202885,-0.445338198,-0.936222501,1.168337503,-2.894496784,-0.382690684,0.44854444,0.567280337,0.411488189,0.225842081,-0.080746846,0.150268458,1.98,0
79352,-1.704222557,0.214912816,1.953334488,-2.316929847,-0.559669101,-1.200691337,-0.205375354,0.493855331,1.302597338,-2.2179454,-1.025130142,0.242727801,-0.945098864,0.086996251,0.185639725,0.25662134,-0.527266456,0.274898674,-0.935107225,-0.438163718,0.074698561,0.06356008,-0.493410163,0.384896712,0.582274416,-0.940482317,-0.097823489,-0.130886468,1,0
67819,-1.000411311,-0.396330994,1.269011204,-0.687484497,1.280296414,0.532867394,-0.07421014,0.611020591,0.551821668,-1.114337898,-0.093886009,0.505243464,-1.017485704,-0.08700789,-0.649748962,-1.131481,0.731407657,-2.535310801,-3.153300719,-0.349095267,0.265817396,0.842541375,0.326924775,-0.628028532,-1.163393041,0.006285802,0.21327789,0.218550472,11.75,0
25101,-1.398483813,1.447965713,0.891553421,-0.973032855,-0.677907784,-1.010759484,-0.166344578,0.80050876,1.024239766,-1.409519966,0.489656085,-2.671471403,0.47875044,2.368782704,-0.072631208,0.317689076,0.907862912,-0.497083305,-1.334068494,-0.378338246,-0.066509201,-0.222323222,0.096688677,0.348211245,-0.42897026,0.729916751,-0.151913264,0.041270154,0.85,0
41725,-0.000206598,-2.195732455,-0.256582769,0.414158904,-0.937727752,0.58198686,0.359405164,0.168910493,0.453661364,-0.504078793,1.396312644,0.795640199,-1.12698701,0.493187707,-0.114608279,-0.549250202,0.52400277,-1.024380583,-0.12411557,0.992146889,0.19329193,-0.618207158,-0.415294079,-0.201955299,-0.118785618,0.924982587,-0.16232612,0.085238824,595,0
48436,-5.922711825,4.883030873,-2.58588456,-1.899211603,-2.887539106,-1.185028839,-2.183939288,3.258377122,1.439955389,2.359352486,0.239889628,1.685890745,0.238873599,1.227546258,-0.186268463,1.432720976,-0.06259627,0.27624282,-0.769781647,1.011876053,-0.282633242,-0.499787995,0.422918368,-0.022838036,0.534480234,0.692891346,-0.254125631,-0.613160886,0.92,0
72935,1.258782774,0.32030028,0.265410591,1.000322702,-0.128813605,-0.609246122,0.116741891,-0.167498326,0.063642772,-0.009372714,-0.783550264,0.147045848,0.294301124,0.269196207,1.039560955,0.311172769,-0.665619973,-0.024074279,-0.187649463,-0.103408112,-0.081849262,-0.20781013,-0.087704711,-0.128660867,0.612187477,-0.408547243,0.022028438,0.021695594,8.99,0
43072,1.203625268,-0.076629756,0.249929863,-0.129916071,-0.215373611,-0.107791377,-0.1996689,0.073873962,-0.050414401,-0.018288098,1.392640283,0.933769935,0.194221238,0.38945229,0.616312967,0.277538844,-0.412102244,-0.338684626,0.051235682,-0.049926235,-0.026442514,-0.073085475,-0.000977617,-0.244072481,0.19762471,0.978877001,-0.069144106,-0.010017955,15,0
172121,-2.264238215,0.732373298,2.03988015,4.736778453,-1.226537598,1.015256595,-1.198229892,1.379361015,-1.148666262,1.218298946,-1.686563773,-1.315669549,-1.132619574,0.497607666,1.62824533,0.861619742,0.365604857,1.085167579,0.712713759,0.322696824,0.255790523,0.515529047,-0.331321947,-0.032383001,-0.030448379,0.569254111,0.375977949,-0.115792844,109.54,0
142064,2.088487679,-0.964542531,-1.531498509,-0.865662893,-0.484462698,-0.050238745,-1.138261883,0.206415375,0.116764364,0.286358306,0.453779984,-1.319871582,-1.653061071,-1.581918453,-0.06955044,2.164682094,0.978464932,0.522516812,0.744933816,0.035639873,0.240673869,0.554461762,0.04383813,-0.058234307,-0.151456173,-0.09913201,0.001221546,-0.019451286,49.95,0
149204,-0.06941599,-0.162694975,-0.826521031,-1.005834077,1.249849489,4.53319066,-1.317375235,1.817783584,1.274150308,-1.51434609,-0.64868682,0.235971654,-0.177803506,-1.868950998,-0.49250308,0.802569109,0.638611602,0.740690866,-0.76677966,-0.040014881,0.254168322,0.721356844,0.396205605,0.636848283,-1.061551289,0.430734022,-0.007765134,-0.000472289,90,0
62473,-0.427169897,0.967544411,1.366592881,0.823915131,0.085831377,-0.631401406,0.581187522,-0.019134626,-0.729730219,0.097113256,1.216040956,0.178362375,-0.947696413,0.689871392,0.399976909,-0.163712065,-0.321264023,0.6351553,0.656148908,-0.072667134,0.230341007,0.585343729,-0.146197171,0.53038615,-0.356059788,-0.375186105,0.025368567,0.165781115,2.2,0
59669,0.32600663,1.286637565,-2.007181287,2.419674796,-1.532901697,-1.432803315,-2.45952964,0.617737792,-1.12586103,-3.236784016,3.561794964,-3.914679352,-2.124956456,-4.45889503,0.578201875,-2.343304119,-5.071450108,-0.749172321,0.228422748,0.222666683,0.556894674,0.169775529,-0.174357059,0.308061323,0.710996128,-0.231029818,0.580495234,0.300984038,6.27,1
72092,1.318913582,-0.138043043,0.118640006,-1.379700706,-0.65174599,-1.419560037,0.068807302,-0.362298198,1.030965144,-1.036579022,0.055714732,1.199306037,1.206538041,0.084887906,1.544114072,-0.507892394,-0.229571977,-0.305765199,0.719539027,0.008330607,-0.036603773,0.055929718,-0.069044051,0.418498615,0.558357639,0.007191053,0.001907101,0.016160054,11.01,0
75726,1.057687369,-0.87258461,1.445926075,0.418395833,-1.633300756,0.394595162,-1.325802084,0.400609605,-0.451932696,0.879519379,1.192346831,0.108456205,-0.781880103,0.166842271,1.10016749,-0.83510383,-0.339596464,2.080387613,-1.707650162,-0.493250212,0.00607832,0.358606742,0.015651886,0.159857399,0.066800753,-0.255317048,0.096902573,0.04461271,67.94,0
67150,-1.82429506,0.403326527,-1.994122006,2.756558164,-3.139064326,0.408185015,-1.209045119,1.095634354,-1.447224892,-3.951002892,2.560700202,-3.411982911,-0.78166962,-4.732767535,-0.433973655,-3.306088412,-4.231021875,-0.75080977,2.690808342,1.503688305,0.838760421,0.341727096,0.947506491,-0.145493002,0.049325773,0.831065452,0.332421304,0.252712729,489.71,1
153229,-0.211088189,-1.412636693,1.557539395,-1.96042493,-1.311125796,-0.502950023,-1.040706059,0.087523617,-1.32866751,0.894392965,-1.381541255,-1.196268643,0.254130867,-0.880230005,-0.102376997,-0.314388854,0.410577297,0.574992199,-0.001424232,-0.063284526,0.071662885,0.476655854,0.404899358,0.003220909,-1.266236582,-0.312824788,0.261761314,0.261046769,82.37,0
63549,-0.364335851,1.176142472,1.438827492,0.134291796,-0.094398396,-1.152998694,0.76313452,-0.124166096,-0.495808222,-0.529108157,0.167383097,0.299083903,0.571203083,-0.511250356,0.813969546,0.263913505,0.097685063,-0.307056858,-0.217991373,0.139134957,-0.235624485,-0.587238295,0.023163975,0.674141684,-0.18624258,0.049886389,0.248873608,0.10276005,5.16,0
75242,1.051597499,0.200695666,0.097612627,1.293222186,-0.173275049,-1.027093015,0.59003432,-0.308077739,-0.304588127,-0.005536681,-0.253759263,0.401598229,0.201257224,0.496227723,0.725873375,0.036259703,-0.376501849,-0.696995183,-0.18095733,0.067705089,-0.326737885,-1.192534627,0.056406192,0.341387033,0.367871814,-0.737174541,-0.015397579,0.042079432,104.95,0
118083,1.788395126,-0.067568222,-2.234828028,1.138654655,0.840085892,-0.887161855,1.029468518,-0.47253166,-0.560985254,0.46809166,0.635402854,1.086468278,0.645771531,0.900135192,-0.605265519,-0.169508505,-0.873397591,0.173925817,0.031364829,0.081870143,0.290148443,0.638335542,-0.271690681,-0.452951878,0.569864697,-0.423589218,-0.064491042,-0.054747209,150,0
156149,2.129113816,-1.028559738,-0.455818859,-0.75146746,-1.245841514,-0.78822944,-0.994898412,-0.124634101,0.172726861,0.735671299,-0.818615861,-0.596300304,-0.047918782,-0.425744952,0.247766022,1.102688889,0.208910412,-1.20835258,0.368570643,-0.030423955,0.333497585,1.020237651,0.134560891,0.018421846,-0.178874506,-0.085217727,0.009661981,-0.046732327,24.99,0
93860,-10.63237491,7.251936229,-17.68107182,8.204144406,-10.16659075,-4.51034377,-12.98160616,6.783588798,-4.659329584,-14.92465477,8.389142335,-16.46550394,0.33851696,-14.2244036,0.556584473,-11.68399804,-15.84161598,-5.753199753,3.813040793,-0.810146482,2.715357044,0.69560269,-1.138122067,0.459442242,0.386337323,0.522438449,-1.416603737,-0.488307036,188.52,1
122016,2.11277389,-1.620001721,-0.912566222,-1.858178961,-0.605576648,1.236829171,-1.508513127,0.334094017,-1.38564315,1.557535545,0.884614004,0.405196321,1.268229198,-0.464396114,-0.051772309,-0.970477194,0.74258947,-0.733361684,-0.772466091,-0.406750382,-0.030884723,0.514369924,0.22559843,-1.627392981,-0.423243332,-0.069102577,0.073439533,-0.066345235,36,0
9148,0.30462122,0.842671493,0.806669123,0.25373522,0.463656343,-0.280001026,0.097065656,-1.049209376,1.11885352,-0.867436774,-0.082030567,-1.896740481,2.88753477,1.459508101,-0.391414545,0.710560045,-0.413554604,0.134039666,-1.285789962,-0.297719252,0.499344104,-0.818256738,-0.366467747,-0.504053307,1.262261285,-0.513176771,0.034499832,0.089606412,14.99,0
